"","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)","ci85_low","ci85_high"
"(Intercept)",-2.52072998191026,0.122808886981638,0.12282774947998,20.5224795909911,0,-2.69753446935441,-2.34392549446612
"scale_PavedProximity",0.0959098334058222,0.0477420803278724,0.047747045490045,2.00870718641259,0.0445682,0.0271790709589666,0.164640595852678
"scale_UnpavedProximity",-0.0872580740872776,0.0693742107437437,0.0693797786539073,1.25768740950521,0.2085048,-0.187129519597099,0.0126133714225435
"scale_Curvature",-0.421889483406294,0.089401677415674,0.0894154139824869,4.71830822691182,2.4e-06,-0.55059855910338,-0.293180407709208
"scale_Ruggedness",-1.0152456704826,0.180116250904868,0.180143892946295,5.63574847794187,0,-1.27455393137865,-0.75593740958656
"scale_Slope",-1.31291254254931,0.106333504124094,0.106349683859165,12.345241611512,0,-1.46599774733242,-1.15982733776619
"DirectionFlat",-1.19638680176219,0.200280503874691,0.20031127208954,5.97263843058917,0,-1.48472499496267,-0.908048608561712
"DirectionN",-0.100280739967909,0.164386881423056,0.164412134649762,0.609935149747505,0.5419048,-0.336943896443369,0.136382416507551
"DirectionNE",-0.298009226838549,0.167141900835897,0.167167575318255,1.7826975492777,0.0746356,-0.53863870525272,-0.0573797484243771
"DirectionNW",-0.637312015032741,0.162528407508033,0.16255337608802,3.92063228934504,8.83e-05,-0.871299579812493,-0.403324450252989
"DirectionS",-0.113544911423384,0.164504883939184,0.164530159258756,0.690116097467654,0.4901212,-0.350377956415026,0.123288133568257
"DirectionSE",0.0199606675338063,0.138408383036985,0.138429644940905,0.144193590486543,0.8853476,-0.179301977121162,0.219223312188775
"DirectionSW",-0.62311193528894,0.194469300394091,0.194499179951893,3.20367384295944,0.0013569,-0.903083906462032,-0.343139964115848
"DirectionW",-0.631178529143116,0.163410978283721,0.163436082517188,3.86192889245701,0.0001125,-0.866436706240849,-0.395920352045382
"scale_Elevation",0.939351635411961,0.0616794815562399,0.0616888934833604,15.227240794412,0,0.850553483390072,1.02814978743385
"VegetationExotic Herbaceous",0.203863481374347,0.179846885568002,0.179874517837996,1.13336499146564,0.257061,-0.0550570107173098,0.462783973466005
"VegetationExotic Tree-Shrub",-0.577749435439765,0.334883712642338,0.334935120260274,1.72495925476792,0.0845348,-1.05987203656519,-0.0956268343143394
"VegetationGrassland",0.435350881384837,0.194942566154379,0.194972336980571,2.2328853832645,0.0255565,0.154697728579904,0.71600403418977
"VegetationOther",-2.56726316622857,0.343333124134001,0.34338586792766,7.47632155546192,0,-3.06155018162185,-2.07297615083529
"VegetationRiparian",-0.725915609401105,0.340696719224625,0.340749063292748,2.13035247224568,0.0331425,-1.21640707183283,-0.235424146969382
