"","(Intercept)","Direction","scale_Curvature","scale_Elevation","scale_RoadsProximity","scale_Ruggedness","scale_Slope","Vegetation","scale_PavedProximity","scale_UnpavedProximity","df","logLik","AICc","delta","weight"
"m13",-2.52191616319583,"+",-0.421906600269493,0.942619550586907,NA,-1.01224079383115,-1.30824909152986,"+",0.105685624338316,-0.114832860667113,20,-1995.92430965444,4031.95525889248,0,0.669347426377068
"m14",-2.51977949151328,"+",-0.422412952571873,0.933225336601137,NA,-1.02658106070193,-1.3315154855135,"+",0.0966807702132079,NA,19,-1998.03358871149,4034.16364860856,2.20838971607463,0.221873719562865
"m15",-2.51240123460167,"+",-0.420066816501584,0.927522894946885,NA,-1.00805050600268,-1.29854224363475,"+",NA,-0.100158908772376,19,-1999.18708824947,4036.47064768452,4.51538879204236,0.0700079530954514
"m1",-2.51172266317133,"+",-0.420559511576626,0.925278099504547,-0.0794021550009155,-1.01008864697085,-1.30222620977092,"+",NA,NA,19,-1999.77805549758,4037.65258218074,5.69732328825785,0.0387698003913975
"m2",-2.43101394342159,"+",NA,0.919234832707896,-0.0791615850251693,-0.798330610687257,-1.30373252636143,"+",NA,NA,18,-2011.93349674037,4059.95380652809,27.9985476356042,5.56985934535645e-07
"m7",-2.4301019816844,"+",NA,0.913780368883123,NA,-0.807826773773273,-1.32188182612909,"+",NA,NA,17,-2012.9624204937,4060.00250596201,28.0472470695322,5.43587273487569e-07
"m8",-2.30532215567041,"+",NA,0.879071814075609,-0.100901137932388,NA,-1.53572799220954,"+",NA,NA,17,-2030.74685565512,4095.57137628487,63.616117392387,1.02703968719012e-14
"m5",-2.59988500344793,NA,-0.159965248203808,0.856702894372817,NA,NA,-1.44246268372349,"+",NA,NA,9,-2065.40447423822,4148.83176794906,116.876509056579,2.79408828342641e-26
"m10",-2.58423372486418,NA,NA,0.865417316026521,NA,NA,-1.42503000830227,"+",NA,NA,8,-2069.357600186,4154.73345363604,122.778194743558,1.46118552163277e-27
"m4",-2.30853964398034,"+",NA,0.557066270695955,-0.21572132820855,-2.0168821277793,NA,"+",NA,NA,17,-2119.57191446946,4273.22149391354,241.266235021063,2.72492358749844e-53
"m11",-2.42555096296545,NA,NA,NA,NA,-0.644148882136615,-0.683372115276668,"+",NA,NA,8,-2174.31654394742,4364.65134115889,332.696082266406,3.81606056062965e-73
"m3",-2.4261231806521,NA,NA,NA,-0.0392419250605884,-0.640470000556242,-0.674442060684952,"+",NA,NA,9,-2174.04491119107,4366.11264185476,334.157382962282,1.83779829383102e-73
"m9",-2.37857885015247,NA,-0.203537015030258,NA,-0.0557713707854473,NA,-0.918747227240042,"+",NA,NA,9,-2180.28696892212,4378.59675731687,346.641498424384,3.57607497637492e-76
"m6",-2.35452560239492,NA,NA,NA,-0.0507682708968153,NA,-0.890795442316502,"+",NA,NA,8,-2186.51362445374,4389.04550217152,357.090243279035,1.92526492626088e-78
"m12",-1.81495723060367,"+",NA,0.384571301094219,-0.328876688350453,NA,NA,"+",NA,NA,16,-2222.52630303984,4477.12163285294,445.166373960454,1.44212108927087e-97
